"ov","var","x","coef","se","lwr","upr","n","df","p","star"
"incidence3","lose","lose",1.32,0.49,0.35,2.28,35481,35479,0.01,"*"
"count3","lose","lose",0.03,0.03,-0.02,0.09,35481,35479,0.26,""
"countdif3","lose","lose",0.01,0.02,-0.03,0.06,35481,35479,0.48,""
"countlog3","lose","lose",0.01,0.01,0,0.03,35481,35479,0.03,"*"
"countlogdif3","lose","lose",0.01,0,0,0.02,35481,35479,0.01,"*"
"incidence3","win","win",0.3,0.67,-1.02,1.62,34033,34031,0.66,""
"count3","win","win",0,0.03,-0.06,0.06,34033,34031,0.97,""
"countdif3","win","win",0.02,0.03,-0.03,0.07,34033,34031,0.36,""
"countlog3","win","win",0,0.01,-0.02,0.02,34033,34031,0.78,""
"countlogdif3","win","win",0.01,0.01,0,0.03,34033,34031,0.07,"."
