"ov","var","bw","x","coef","se","lwr","upr","n","df","p","star"
"Trust
(leader)","treat:lose:factor(ntile(season_appearance, 3))1","3","treat:lose:factor(ntile(season_appearance, 3))1",-0.45,0.46,-1.34,0.44,10097,10085,0.32,""
"Trust
(leader)","treat:lose:factor(ntile(season_appearance, 3))2","3","treat:lose:factor(ntile(season_appearance, 3))2",-0.6,0.16,-0.9,-0.29,10097,10085,0,"*"
"Trust
(leader)","treat:lose:factor(ntile(season_appearance, 3))3","3","treat:lose:factor(ntile(season_appearance, 3))3",-2.7,0.35,-3.38,-2.01,10097,10085,0,"*"
"Trust
(leader)","treat:win:factor(ntile(season_appearance, 3))1","3","treat:win:factor(ntile(season_appearance, 3))1",-0.29,0.85,-1.96,1.37,9139,9127,0.73,""
"Trust
(leader)","treat:win:factor(ntile(season_appearance, 3))2","3","treat:win:factor(ntile(season_appearance, 3))2",-0.68,0.48,-1.62,0.26,9139,9127,0.16,""
"Trust
(leader)","treat:win:factor(ntile(season_appearance, 3))3","3","treat:win:factor(ntile(season_appearance, 3))3",0.03,0.57,-1.08,1.14,9139,9127,0.96,""
