"ov","var","bw","x","coef","se","lwr","upr","n","df","p","star"
"Trust
(leader)","lose","3","treat:lose",-1.2,0.39,-1.96,-0.44,4724,4720,0,"*"
"Trust
(leader)","win","3","treat:win",-0.52,0.15,-0.81,-0.23,7485,7481,0,"*"
