"ov","var","x","coef","se","lwr","upr","n","df","p","star"
"Non-ethnic","lose","lose",0.64,0.27,0.11,1.16,35481,35479,0.02,"*"
"Ethnic","lose","lose",0.06,0.05,-0.05,0.16,35481,35479,0.3,""
"Non-ethnic","win","win",0.63,0.28,0.08,1.18,34033,34031,0.03,"*"
"Ethnic","win","win",0.02,0.05,-0.09,0.12,34033,34031,0.77,""
