"ov","var","bw","x","coef","se","lwr","upr","n","df","p","star"
"Trust
(leader)","lose","1","treat:lose",-2.05,0.42,-2.86,-1.23,3458,3454,0,"*"
"Trust
(leader)","lose","2","treat:lose",-1.53,0.26,-2.05,-1.01,7262,7258,0,"*"
"Trust
(leader)","lose","3","treat:lose",-1.2,0.31,-1.81,-0.6,10097,10093,0,"*"
"Trust
(leader)","win","1","treat:win",-1.11,0.45,-1.98,-0.23,3019,3015,0.01,"*"
"Trust
(leader)","win","2","treat:win",-0.59,0.25,-1.08,-0.1,6409,6405,0.02,"*"
"Trust
(leader)","win","3","treat:win",-0.28,0.21,-0.7,0.14,9139,9135,0.2,""
