"x","coef","se","lwr","upr","n","df","p","star"
"dum.belong",0.37,0.15,0.06,0.68,1960,39,0.02,"*"
"dum.present",0.49,0.2,0.09,0.89,1960,39,0.02,"*"
"dum.absent",0.17,0.13,-0.08,0.43,1960,39,0.18,""
