"ov","var","bw","x","coef","se","lwr","upr","n","df","p","star"
"Trust
(leader)","lose","3","treat:lose",-1.11,0.24,-1.58,-0.65,9846,9827,0,"*"
"Trust
(leader)","win","3","treat:win",-0.31,0.2,-0.71,0.09,8904,8888,0.13,""
