"ov","var","subset","x","coef","se","lwr","upr","n","df","p","star"
"acled_event_type1_dif3","lose","West","lose",0.46,0.32,-0.17,1.08,23027,23025,0.15,""
"acled_event_type1_dif3","lose","South","lose",-0.64,0.27,-1.17,-0.1,951,949,0.02,"*"
"acled_event_type1_dif3","lose","North","lose",1.84,0.74,0.38,3.3,3258,3256,0.01,"*"
"acled_event_type1_dif3","lose","East","lose",0.88,0.41,0.08,1.69,8245,8243,0.03,"*"
"acled_event_type1_dif3","win","West","win",0.53,0.41,-0.27,1.33,22457,22455,0.2,""
"acled_event_type1_dif3","win","South","win",0.71,0.11,0.5,0.91,880,878,0,"*"
"acled_event_type1_dif3","win","North","win",1.32,0.88,-0.41,3.05,2893,2891,0.13,""
"acled_event_type1_dif3","win","East","win",0.51,0.33,-0.15,1.16,7803,7801,0.13,""
