"ov","var","x","coef","se","lwr","upr","n","df","p","star"
"acled_event_type1_dif3","lose","lose",0.5,0.19,0.12,0.87,47810,47808,0.01,"*"
"acled_event_type1_dif3","win","win",0.17,0.19,-0.21,0.56,46891,46889,0.37,""
