"ov","var","x","coef","se","lwr","upr","n","df","p","star"
"acled_event_type1_dif3","lose:factor(team_popularity_f)1","lose:factor(team_popularity_f)1",0.65,0.26,0.13,1.16,35481,35475,0.01,"*"
"acled_event_type1_dif3","lose:factor(team_popularity_f)2","lose:factor(team_popularity_f)2",0.6,0.78,-0.92,2.12,35481,35475,0.44,""
"acled_event_type1_dif3","lose:factor(team_popularity_f)3","lose:factor(team_popularity_f)3",0.94,0.88,-0.79,2.68,35481,35475,0.29,""
"acled_event_type1_dif3","win:factor(team_popularity_f)1","win:factor(team_popularity_f)1",0.57,0.28,0.02,1.12,34033,34027,0.04,"*"
"acled_event_type1_dif3","win:factor(team_popularity_f)2","win:factor(team_popularity_f)2",0.66,0.67,-0.66,1.98,34033,34027,0.33,""
"acled_event_type1_dif3","win:factor(team_popularity_f)3","win:factor(team_popularity_f)3",1.03,0.64,-0.23,2.3,34033,34027,0.11,""
