"ov","var","subset","x","coef","se","lwr","upr","n","df","p","star"
"acled_event_type1_dif3","lose","2005-09","lose",0.37,0.2,-0.02,0.75,13838,13836,0.06,"."
"acled_event_type1_dif3","lose","2010-14","lose",0.54,0.49,-0.42,1.49,15121,15119,0.27,""
"acled_event_type1_dif3","lose","2015-18","lose",1.56,0.44,0.7,2.42,9371,9369,0,"*"
"acled_event_type1_dif3","win","2005-09","win",0.46,0.27,-0.08,0.99,13473,13471,0.09,"."
"acled_event_type1_dif3","win","2010-14","win",0.63,0.39,-0.14,1.39,14531,14529,0.11,""
"acled_event_type1_dif3","win","2015-18","win",0.99,0.56,-0.11,2.09,8661,8659,0.08,"."
