"x","coef","se","lwr","upr","n","df","p","star"
"p_score",0.98,0.03,0.93,1.03,61476,61474,0,"*"
"p_score",0.71,0.03,0.65,0.78,43984,43982,0,"*"
"p_score",0.87,0.03,0.81,0.94,59447,59445,0,"*"
"p_score",0.67,0.04,0.59,0.74,43084,43082,0,"*"
